,datadate,tic,adjcp,open,high,low,volume,macd,boll,boll_ub,boll_lb,rsi_30,cci_30,dx_30,dma,close_30_sma,close_60_sma,kdjk,trix,turbulence
45,20090310,SPY,72.17,69.51,72.37,69.37,405794300.0,-3.4481338500473555,75.79665000000001,86.14661588400163,65.4466841159984,36.566553509471504,-100.10336083881333,40.351190094734285,-9.96266956521741,78.78439999999999,81.64486956521739,20.239578347100256,-0.7532966334972427,0.0
46,20090311,SPY,72.64,73.0,73.75,71.83,356603100.0,-3.177170888605957,75.27315000000002,85.11213611111604,65.43416388888399,37.38102865857567,-75.56736420631972,31.072323636414357,-10.194276595744682,78.38806666666665,81.45327659574467,34.997927704973236,-0.7481276328696266,0.0
47,20090312,SPY,75.5,72.62,75.75,71.97,409556900.0,-2.705730600373059,74.86815000000003,83.89747481651331,65.83882518348675,42.063780211913624,-49.81214096358128,18.894868431689467,-10.082250000000002,77.99173333333331,81.32924999999999,55.701893999847286,-0.7144037917799761,0.0
48,20090313,SPY,76.09,76.01,76.98,74.73,336785600.0,-2.25950137349669,74.48965000000001,82.54984984798584,66.42945015201418,42.97385779207957,-26.112657091839065,12.051023189723479,-9.759326530612242,77.70973333333332,81.22232653061224,67.46523027790089,-0.6597402294198943,0.0
49,20090316,SPY,75.86,76.96,77.97,75.81,360356100.0,-1.9021602340300063,74.14465000000001,81.24826023927807,67.04103976072196,42.703344114917314,-14.898921997603479,6.763484148236561,-9.126080000000002,77.47739999999999,81.11507999999999,71.83974566824794,-0.5941301494569249,0.0
50,20090317,SPY,78.18,76.07,78.36,75.45,356790700.0,-1.4188534377729667,74.09265000000002,81.05362187028828,67.13167812971176,46.23492034323909,-1.183473192253826,4.683269515051668,-8.019480000000001,77.33073333333331,81.0575294117647,80.69363743188111,-0.5126806927714572,0.0
51,20090318,SPY,79.93,77.81,80.9,77.07,468196700.0,-0.8868510120667139,74.13765000000002,81.24314964241914,67.0321503575809,48.70216201621604,31.762570887417716,7.820794159200268,-6.9410799999999995,77.20373333333332,81.03584615384617,84.78609645217196,-0.41627982139388575,0.0
52,20090319,SPY,78.94,80.93,81.0,78.69,428426400.0,-0.537744688066013,74.17560000000002,81.37945389255366,66.97174610744638,47.42845146558142,39.34341009720181,8.281855953049334,-5.636480000000006,77.05739999999999,80.99630188679245,84.68281838333694,-0.3198177259047149,0.0
53,20090320,SPY,76.71,78.76,78.91,76.53,371022100.0,-0.43345082027715875,74.14010000000002,81.28337838342838,66.99682161657165,44.704102059815334,7.320574434163047,2.9288692931610774,-4.578279999999992,76.79539999999999,80.91692592592592,77.49275883050777,-0.23884451902259354,0.0
54,20090323,SPY,82.22,78.74,82.29,78.31,419865700.0,0.0868154651569597,74.51860000000002,82.52563723115175,66.5115627688483,51.78340349754278,74.11516296797548,12.265273084539414,-2.9908399999999915,76.63676666666666,80.9406181818182,84.77210053327666,-0.1452565502121671,0.0
